,threads,size,nproma,repetition,execution_time
733,2,4096,16,5,421
734,1,16384,16,10,2823
735,1,8192,128,5,1359
736,1,8192,64,14,1355
737,32,65536,16,5,575
738,1,8192,64,0,1355
739,1,131072,16,17,22537
740,32,262144,16,15,3427
741,4,8192,16,4,422
742,8,8192,16,1,219
743,8,131072,16,15,3741
744,1,32768,64,5,5434
745,32,32768,16,13,257
746,1,65536,16,19,11269
747,4,16384,16,1,846
748,16,16384,16,2,245
749,1,65536,16,4,11266
750,4,262144,16,12,13467
751,1,32768,64,2,5432
752,32,32768,16,14,251
753,1,65536,128,18,10837
754,2,65536,16,8,6661
755,4,16384,16,6,847
756,4,32768,16,9,1682
757,1,65536,16,3,11267
758,16,16384,16,5,241
759,4,262144,16,15,13469
760,1,16384,16,19,2822
761,1,8192,64,13,1354
762,1,8192,128,2,1358
763,8,131072,16,9,3748
764,32,65536,16,2,560
765,1,8192,64,7,1362
766,1,131072,16,10,22540
767,8,8192,16,18,219
768,4,8192,16,3,424
769,32,262144,16,12,3318
770,8,8192,16,6,220
771,8,131072,16,12,3751
772,32,16384,16,1,132
773,32,16384,16,13,132
774,4,131072,16,11,6728
775,32,65536,16,14,546
776,1,262144,16,14,45063
777,1,4096,128,19,682
778,16,4096,16,1,69
779,1,4096,64,16,680
780,1,4096,128,7,684
781,1,262144,16,7,45053
782,4,131072,16,1,6739
783,8,262144,16,16,7554
784,16,65536,16,6,1212
785,1,16384,16,0,2823
786,2,32768,16,4,3335
787,32,131072,16,16,1704
788,4,65536,16,5,3363
789,1,262144,16,13,45093
790,16,4096,16,6,66
791,1,65536,64,9,10874
792,1,4096,128,0,684
793,1,4096,64,11,681
794,4,131072,16,6,6731
795,1,262144,16,0,45054
796,8,262144,16,11,7551
797,1,16384,16,7,2823
798,16,65536,16,1,1171
799,32,131072,16,11,1689
800,2,32768,16,3,3336
801,4,65536,16,2,3366
802,1,32768,16,8,5637
803,32,32768,16,9,251
804,32,16384,16,6,136
805,32,16384,16,14,129
806,4,131072,16,16,6729
807,1,32768,16,19,5636
808,32,65536,16,13,586
809,1,4096,128,10,683
810,1,65536,64,7,10858
811,16,4096,16,8,69
812,4,131072,16,8,6733
813,1,16384,128,14,2716
814,1,16384,16,9,2822
815,1,32768,16,6,5637
816,8,4096,16,14,112
817,2,16384,16,2,1674
818,32,32768,16,7,252
819,32,16384,16,8,133
820,32,4096,16,4,41
821,4,131072,16,18,6727
822,1,8192,16,3,1414
823,1,32768,16,17,5634
824,2,131072,16,2,13310
825,32,32768,16,0,257
826,32,4096,16,3,39
827,1,8192,16,4,1413
828,2,131072,16,5,13317
829,1,32768,16,10,5635
830,1,4096,128,17,682
831,1,65536,64,0,10874
832,1,4096,128,9,684
833,1,4096,64,18,681
834,1,262144,16,9,45070
835,8,262144,16,18,7557
836,32,131072,16,18,1714
837,16,65536,16,8,1203
838,1,16384,128,13,2715
839,1,32768,16,1,5635
840,2,16384,16,5,1674
841,8,4096,16,13,113
842,16,4096,16,10,68
843,4,4096,16,13,214
844,32,8192,16,1,65
845,1,4096,16,6,710
846,16,131072,16,13,2766
847,32,8192,16,11,68
848,2,32768,16,19,3333
849,1,8192,16,10,1414
850,1,8192,128,11,1361
851,16,16384,16,19,240
852,1,131072,128,2,21606
853,1,131072,64,13,21712
854,4,32768,16,13,1681
855,2,262144,16,0,26626
856,1,8192,16,17,1414
857,1,8192,128,16,1359
858,1,131072,64,14,21746
859,1,131072,128,5,21630
860,2,262144,16,7,26633
861,4,32768,16,14,1683
862,16,65536,16,19,1186
863,16,4096,16,17,70
864,2,131072,16,18,13304
865,4,4096,16,14,213
866,32,8192,16,6,69
867,1,4096,16,1,711
868,16,131072,16,14,2792
869,32,8192,16,16,66
870,1,8192,16,19,1416
871,8,16384,16,15,443
